hypotensie	hypotension
echocardiografische	echocardiographic
ontsteking	inflammation
echocardiografisch	echocardiographic
artritis	arthritis
cachexie	cachexia
asymptomatische	asymptomatic
aldosteron	aldosterone
spironolacton	spironolactone
obesitas	obesity
terminale	terminal
incidentie	incidence
atrioventriculaire	atrioventricular
natrium	sodium
placebo	placebo
bloedingen	bleeding
europa	europe
furosemide	furosemide
auscultatie	auscultation
idiopathische	idiopathic
renale	renal
hypoxie	hypoxia
hypertensie	hypertension
r	r
parasympathische	parasympathetic
natriuretische	natriuretic
longen	lung
baseline	baseline
chemotherapie	chemotherapy
diuretische	diuretic
k	potassium
diagnostisch	diagnostic
snp	snp
thorax	chest
osteoporose	osteoporosis
at1	at1
stabiel	stable
creatinine	creatinine
pulmonaal	pulmonary
trastuzumab	trastuzumab
symptomatische	symptomatic
myocardiale	myocardial
biventriculaire	biventricular
pathologisch	pathological
hypokaliëmie	hypokalemia
chronische	chronic
inotropica	inotropes
polsfrequentie	pulse
compliance	compliance
bèta-2-adrenoceptor	β2-receptor
genetische	genetic
titrerend	titrated
percutane	percutaneous
internisten	internists
diastolisch	diastolic
perfusie	perfusion
cardiaal	cardiac
diagnosticeren	diagnosed
bax	bax
kalium	potassium
acuut	acute
prevalentie	prevalence
trombo-embolie	thromboembolism
adjuvante	adjuvant
adjuvant	adjuvant
cardiologie	cardiology
anti-inflammatoir	anti-inflammatory
infectie	infection
renine	renin
veneuze	venous
ontstekingsremmende	anti-inflammatory
organen	organ
natriuretisch	natriuretic
systolisch	systolic
stabiele	stable
ß2-receptoren	β2-receptor
apoptosis	apoptosis
elektrocardiografisch	electrocardiographic
aangeboren	congenital
dysfunctie	dysfunction
ischaemische	ischemic
tunel	tunel
abdominale	abdominal
anticoagulantia	anticoagulants
sodium	sodium
inotrope	inotropic
troponine	troponin
zweden	sweden
ischemische	ischemic
dubbelblinde	double-blind
voorschrift	prescription
einddiastolische	end-diastolic
lever	liver
pathologieën	pathology
diagnostische	diagnostic
cardiogene	cardiogenic
diabetespatiënten	diabetic
aortale	aortic
apex	apex
polsgolf	pulse-wave
crt-d	crt-d
adipositas	obesity
rales	rales
sensitiviteit	sensitivity
systemische	systemic
dubbelblind	double-blind
farmaceutische	pharmaceutically
long	lung
spironolactone	spironolactone
arterieel	arterial
immuunhistochemisch	immunohistochemistry
cytotoxische	cytotoxic
ontstekingsremmers	anti-inflammatory
charm	charm
bolus	bolus
pathologische	pathological
etiologisch	etiologic
canada	canada
eindsystolische	end-systolic
na	sodium
hypoalbuminemie	hypoalbuminemia
palliatief	palliative
infecties	infection
endotheline	endothelin
fibrose	fibrosis
valsartan	valsartan
cardiologen	cardiologists
orgaan	organ
donoren	donors
insuline	insulin
contractiliteit	contractility
neprilysine	neprilysin
inotroop	inotropic
mri	mri
trombo-embolische	thromboembolic
therapietrouw	compliance
tachycard	tachycardic
resuscitatie	resuscitation
vasculaire	vascular
polsslag	pulse
biomedische	biomedical
chromatine	chromatin
pathofysiologie	pathophysiology
acute	acute
paradigm-hf	paradigm-hf
perioperatieve	perioperative
terminaal	terminal
cerebrale	cerebral
disfunctie	dysfunction
embase	embase
röntgenfoto	x-ray
apoptose	apoptosis
hartkamers	chamber
gezonde	healthy
vo2	vo2
dilatatoire	dilated
adenosine	adenosine
geneeskunde	medicine
gedilateerd	dilated
anti-inflammatoire	anti-inflammatory
adrenomedulline	adrenomedullin
circulatie	circulation
chronisch	chronic
angiotensine	angiotensin
glucose	glucose
pulmonale	pulmonary
euthanasie	euthanization
asymptomatisch	asymptomatic
mitralis	mitral
hyperlipidemie	hyperlipidaemia
implanteerbare	implantable
leukocyten	leukocytes
cochrane	cochrane
dna	dna
systolische	systolic
bloed	blood
anemie	anemia
pioglitazon	pioglitazone
palliatie	palliation
cerebrovasculaire	cerebrovascular
angiotensine-i	at1
hypertensief	hypertensive
neurohumorale	neurohumoral
cardiopulmonale	cardiopulmonary
dilaterende	dilated
geneesmiddelvoorschriften	prescription
cardioloog	cardiologists
plasma	plasma
renaal	renal
cytotoxisch	cytotoxic
diuretisch	diuretic
adrenaline	epinephrine
bisoprolol	bisoprolol
elektrolyten	electrolytes
diastolische	diastolic
vasodilaterende	vasodilatory
specificiteit	specificity
nier	kidney
ambulante	ambulatory
epidemiologie	epidemiology
coronaire	coronary
downregulatie	downregulation
palliatieve	palliative
evidencebased	evidence-based
framingham	framingham
nesiritide	nesiritide
revascularisatie	revascularization
genotype	genotype
gediagnosticeerd	diagnosed
systemisch	systemic
bèta-2-adrenoceptoren	β2-receptor
contractiele	contractile
pco2	paco2
dobutamine	dobutamine
genetisch	genetic
nieren	kidney
pathologie	pathology
cholesterol	cholesterol
chemotherapeutische	chemotherapy
atrioventriculair	atrioventricular
nabelasting	afterload
randomisatie	randomization
perioperatief	perioperative
congenitale	congenital
angina	angina
dyslipedemie	dyslipidemia
cardiale	cardiac
hyponatriëmie	hyponatremia
internist	internists
nyha	nyha
carcinoom	carcinoma
trombose	thrombosis
vaatverwijdende	vasodilatory
evidence-based	evidence-based
atrium	atrium
cardiotoxiciteit	cardiotoxicity
prognose	prognosis
reperfusie	reperfusion
carvedilol	carvedilol
hyperkaliëmie	hyperkalemia
compliantie	compliance
eplerenon	eplerenone
ischemisch	ischemic
coronair	coronary
titreer	titrated
antitumoreffect	antitumor
diabetische	diabetic
ambulant	ambulatory
bloeding	bleeding
decompensatie	decompensation
symptomatisch	symptomatic
arteriële	arterial
erfelijke	hereditary
