source,wiki_sanity_source,target,wiki_sanity_target
Heart failure,93485,Insuffisance_cardiaque_chez_l%27humain,0
Cobalt,70073,Cobalt,0
Jugular venous pressure,27400,Pression_veineuse_jugulaire,0
Methamphetamine,102562,M%C3%A9thamph%C3%A9tamine,0
Cilostazol,25659,Cilostazol,0
Nitrovasodilator,30281,D%C3%A9riv%C3%A9_nitr%C3%A9,0
Digitalis,33586,Digitale,0
Infection,93779,Infection,0
Hyponatremia,35698,Hyponatr%C3%A9mie,0
Catecholaminergic polymorphic ventricular tachycardia,44020,Tachycardie_ventriculaire_polymorphe_cat%C3%A9cholergique,0
American Heart Association,25721,American_Heart_Association,0
Cardiac arrest,72052,Arr%C3%AAt_cardiorespiratoire,0
Signs and symptoms,45855,Signe_clinique,0
Constrictive pericarditis,21630,P%C3%A9ricardite_constrictive,0
European Society of Cardiology,24885,Soci%C3%A9t%C3%A9_europ%C3%A9enne_de_cardiologie,0
Splenomegaly,34287,Spl%C3%A9nom%C3%A9galie,0
Echocardiography,41851,%C3%89chocardiographie,0
Pleural effusion,36787,%C3%89panchement_pleural,0
Spontaneous coronary artery dissection,29240,Dissection_de_l%27art%C3%A8re_coronaire,0
Atrial tachycardia,18766,Tachycardie_atriale,0
Sensitivity and specificity,47042,Sensibilit%C3%A9_et_sp%C3%A9cificit%C3%A9,0
Ventricle (heart),30826,Ventricule_cardiaque,0
Paracelsus,76008,Paracelse,0
Inotrope,18318,Inotropisme,0
Chest radiograph,32610,Radiographie_du_thorax,0
Mitral stenosis,36668,R%C3%A9tr%C3%A9cissement_mitral,0
List of chemotherapeutic agents,19672,Agent_chimioth%C3%A9rapeutique,0
Ventricular natriuretic peptide,32231,Peptide_c%C3%A9r%C3%A9bral_natriur%C3%A9tique,0
Cardiac cycle,35950,Cycle_cardiaque,0
William Harvey,64591,William_Harvey,0
Angiography,33144,Angiographie,0
Loop diuretic,27873,Diur%C3%A9tique_de_l%27anse,0
Nocturia,27725,Nycturie,0
Antipsychotic,108564,Neuroleptique,0
Preventive healthcare,94766,M%C3%A9decine_pr%C3%A9ventive,0
Systole,31859,Systole,0
Willem Einthoven,28448,Willem_Einthoven,0
Shortness of breath,38453,Dyspn%C3%A9e,0
Quality of life,36255,Qualit%C3%A9_de_vie,0
Stimulant,64845,Stimulant,0
Mitral regurgitation,42140,Insuffisance_mitrale,0
Beta blocker,54443,B%C3%AAta-bloquant,0
Paget's disease of bone,39857,Maladie_osseuse_de_Paget,0
Mechanical ventilation,49346,Ventilation_m%C3%A9canique_en_m%C3%A9decine,0
Cardiac arrest,72220,Arr%C3%AAt_cardiorespiratoire,0
Chronic obstructive pulmonary disease,96067,Bronchopneumopathie_chronique_obstructive,0
Tricuspid valve stenosis,20509,R%C3%A9tr%C3%A9cissement_tricuspide,0
Arrhythmogenic cardiomyopathy,51172,Dysplasie_ventriculaire_droite_arythmog%C3%A8ne,0
Beta blocker,54571,B%C3%AAta-bloquant,0
Atrioventricular block,26484,Bloc_atrio-ventriculaire,0
Nephrotic syndrome,50351,Syndrome_n%C3%A9phrotique,0
Ectopic pacemaker,20346,Foyer_ectopique,0
Ernest Starling,26717,Ernest_Starling,0
Mitral regurgitation,41966,Insuffisance_mitrale,0
VO2 max,23945,Consommation_maximale_d%27oxyg%C3%A8ne,0
Rheumatic fever,44055,Rhumatisme_articulaire_aigu,0
Hypertension,70999,Hypertension_art%C3%A9rielle,0
Fatigue,34144,Fatigue_(physiologie),0
HIV/AIDS,110726,Syndrome_d%27immunod%C3%A9ficience_acquise,0
Therapy,40977,Traitement_(m%C3%A9decine),0
Ibn al-Nafis,53091,Ibn_al-Nafis,0
Implantable cardioverter-defibrillator,36747,D%C3%A9fibrillateur_automatique_implantable,0
Angiotensin II receptor blocker,44784,Antagoniste_des_r%C3%A9cepteurs_de_l%27angiotensine_II,0
Diuretic,31200,Diur%C3%A9tique,0
Lithium (medication),55555,Sel_de_lithium,0
Richard Lower (physician),25023,Richard_Lower_(m%C3%A9decin),0
Exercise,57303,Fitness,0
Restrictive cardiomyopathy,21428,Cardiomyopathie_restrictive,0
Cyanosis,25098,Cyanose,0
Lupus,82826,Lupus_%C3%A9ryth%C3%A9mateux_diss%C3%A9min%C3%A9,0
Heart,114324,C%C5%93ur,0
Liver failure,21225,Insuffisance_h%C3%A9pato-cellulaire,0
Christiaan Barnard,50827,Christiaan_Barnard,0
Myocardial bridge,28280,Pont_myocardique,0
Ejection fraction,22107,Fraction_d%27%C3%A9jection,0
Crackles,19478,Cr%C3%A9pitant,0
Acute kidney injury,34564,Insuffisance_r%C3%A9nale_aigu%C3%AB,0
Blood vessel,35112,Vaisseau_sanguin,0
Cardiac tamponade,31437,Tamponnade_cardiaque,0
Bradycardia,29240,Bradycardie,0
Echocardiography,42009,%C3%89chocardiographie,0
Pneumonia,76642,Pneumonie_aigu%C3%AB,0
Cerebral edema,57437,%C5%92d%C3%A8me_c%C3%A9r%C3%A9bral,0
Opiate,40329,Opiac%C3%A9,0
Case fatality rate,24386,Taux_de_l%C3%A9talit%C3%A9,0
Heart failure,93660,Insuffisance_cardiaque_chez_l%27humain,0
Unstable angina,21759,Angor_instable,0
Physical examination,36823,Examen_clinique,0
Ebers Papyrus,21933,Papyrus_Ebers,0
Risk factor,18282,Facteur_de_risque,0
Cardiac resynchronization therapy,23626,Resynchronisation_cardiaque,0
Accelerated idioventricular rhythm,19581,Rythme_idioventriculaire_acc%C3%A9l%C3%A9r%C3%A9,0
Verapamil,41930,V%C3%A9rapamil,0
Vasopressin,47576,Vasopressine,0
Gold standard (test),25319,Gold_standard_(test),0
Bundle branch block,21535,Bloc_de_branche,0
Heart,114324,C%C5%93ur,0
Myocardial infarction,85541,Infarctus_du_myocarde,0
Libman–Sacks endocarditis,22943,Endocardite_de_Libman-Sacks,0
Myocardial stunning,21192,Sid%C3%A9ration_myocardique,0
