apheresis	aphérèse 
bharadvaja	bharadvāja
dyslipidemia	dyslipidémie
endocarditis	endocardite
prevalence	prévalence
fenarimol	fénarimol
ribena	ribena
nephron	néphron
well-being	bien-être
millimetre	millimètre
baltimore	baltimore
diltiazem	diltiazem
timolol	timolol
heart	cœur
birmingham	birmingham
metonymy	métonymie
liver	foie
red	rouge
ea-3167	ea-3167
consciousness	conscience
dermatofibroma	histiocytofibrome
neodymium	néodyme
kif4a	kif4a
geometry	géométrie
erythromelalgia	érythromélalgie
barbiturate	barbiturique
mirtazapine	mirtazapine
n-nitrosodimethylamine	n-nitrosodiméthylamine
bayer	bayer 
catechin	catéchine
cytosol	cytosol
kirsch	kirsch
thioacetamide	thioacétamide
lansoprazole	lansoprazole
taxonomy 	taxonomie
homunculus	homoncule 
dispensary	dispensaire
ulama	ouléma
itraconazole	itraconazole
mecamylamine	mécamylamine
thrombocythemia	thrombocytose
highball	highball 
oceania	océanie
transcription 	transcription 
chemoreceptor	chimiorécepteur
primidone	primidone
cardiomegaly	cardiomégalie
xenophon	xénophon
iraq	irak
neuron	neurone
tamsulosin	tamsulosine
sacrum	sacrum
lusitropy	lusitrope
headache	céphalée
triatominae	triatominae
abiogenesis	abiogenèse
vlorë	vlora
irrigation	irrigation
420 	420 
ehealth	e-santé
sclerosis 	sclérose
naproxen	naproxène
ricin	ricine
doxapram	doxapram
autoantibody	auto-anticorps
crackles	crépitant
macuá	macuá
pramana	pramana
claw	griffe 
kassites	kassites
mosquito	moustique
corfu	corfou
wheeze	sibilance
angiotensin	angiotensine
hamites	hamites
catheter	cathéter
dust	poussière
microcirculation	microcirculation
chlorophyll	chlorophylle
nhs 	nhs
wikidata	wikidata
haptoglobin	haptoglobine
frunevetmab	frunévetmab
nocardia	nocardia
agni	agni 
vinca	pervenche
p21	p21
paraoxon	paraoxone
zombie 	zombie 
decomposition	décomposition
pongal 	pongal
myogenesis	myogenèse
rhinoplasty	rhinoplastie
dextroamphetamine	dextroamphétamine
trachea	trachée
nootropic	nootrope
detonation	détonation
hyperprolactinaemia	hyperprolactinémie
gamma-glutamyltransferase	gamma-glutamyltranspeptidase
pulse	pouls
dhaka	dacca
ayurveda	ayurveda
agonist	agoniste 
gastroenterology	gastro-entérologie
mebeverine	mébévérine
interpol	interpol
ischemia	ischémie
hepatectomy	hépatectomie
food	nourriture
benzazepine	benzoazépine
cadherin	cadhérine
saliva	salive
syncope 	syncope 
vemurafenib	vemurafenib
rotenone	roténone
catecholamine	catécholamine
catharanthus	catharanthus
mercury 	mercure 
2c-t-2	2c-t-2
nesiritide	nésiritide
soma 	péricaryon
poison	poison
tachycardia	tachycardie
watt	watt
yajnavalkya	yājñavalkya
ageusia	agueusie
sensitization	potentialisation
dietitian	diététicien
ischemia	ischémie
autopsy	autopsie
triathlon	triathlon
atherectomy	athérectomie
imepitoin	imépitoïne
stolon	stolon 
pubmed	pubmed
obesity	obésité
angiotensin	angiotensine
socrates	socrate
picatrix	picatrix
systole	systole
hydralazine	hydralazine
enantiomer	énantiomérie
gametogenesis	gamétogenèse
clamp 	serre-joint
gym	gymnase 
lager	lager
ultrafiltration	ultrafiltration
platonism	platonisme 
light	lumière
microorganism	micro-organisme
neuropeptide	neuropeptide
methionine	méthionine
mumbai	bombay
canterbury	canterbury
watsu	watsu
ileostomy	iléostomie
divination	divination
peptide	peptide
anthracene	anthracène
librivox	librivox
naringenin	naringinine
catharanthus	catharanthus
polyuria	polyurie
anethole	anéthol
cheek	joue
coelom	cœlome
tirtha 	tirthadana
anthelmintic	anthelminthique
tretinoin	trétinoïne
parent	parent 
tamoxifen	tamoxifène
androstenediol	5-androstènediol
radiography	radiographie
ounce	once 
ammonium	ammonium
erythromycin	érythromycine
etilefrine	étiléfrine
krupnik	krupnik
thrombosis	thrombose
transducin	transducine
ivacaftor	ivacaftor
scleroderma	sclérodermie
vacutainer	vacutainer
koinon	koinon
parasitism	parasitisme
diploblasty	diploblastique
tiagabine	tiagabine
gastroenteritis	gastro-entérite
taste	goût
androstane	androstane
yohimbine	yohimbine
ascites	ascite
occult 	occultation 
medtronic	medtronic
sonoluminescence	sonoluminescence
bilirubin	bilirubine
cadaver	cadavre
pneumonectomy	pneumonectomie
cyclodextrin	cyclodextrine
family 	famille 
tubulin	tubuline
progesterone	progestérone
gamma-glutamyltransferase	gamma-glutamyltranspeptidase
amoxicillin	amoxicilline
seed	graine
avidin	avidine
metatarsalgia	métatarsalgie
yttrium	yttrium
pharynx	pharynx
foreskin	prépuce
catechol	pyrocatéchol
cyclizine	cyclizine
glucose	glucose
angiosarcoma	angiosarcome
lycurgus 	lycurgue 
nicotine	nicotine
betamethasone	bétaméthasone
vienna	vienne 
electrocardiography	électrocardiographie
methylprednisolone	méthylprednisolone
teratology	tératologie
nocturia	nycturie
paresthesia	paresthésie
iris 	iris 
hyperphosphatemia	hyperphosphorémie
medusa	méduse 
furin	furine
fabomotizole	fabomotizole
cancer	cancer
cell 	cellule 
urbanization	urbanisation
hydrogel	hydrogel
esophagus	œsophage
medea	médée 
thiol	thiol
transferase	transférase
seaborgium	seaborgium
protactinium	protactinium
pandemic	pandémie
gene	gène
al-tasrif	al-tasrif
verbosity	verbiage
aorta	aorte
valence 	valence 
sertraline	sertraline
masitinib	masitinib
acupuncture	acupuncture
arteritis	artérite
algorithm	algorithme
alcoholism	alcoolisme
anisakis	anisakis
nature 	nature 
immunodeficiency	immunodéficience
anticoagulant	anticoagulant
angioma	angiome
ketamine	kétamine
paprika	paprika
palpation	palpation 
jwh-018	jwh-018
spring 	source 
plumbing	plomberie
ultrasound	ultrason
square 	carré 
ethenzamide	éthenzamide
affix	affixe
abca1	abca1
thymoquinone	thymoquinone
lumiliximab	lumiliximab
metaplasia	métaplasie
morphea	morphée 
ion	ion
trachea	trachée
sparta	sparte
pneumoperitoneum	pneumopéritoine
massage	massage
opiate	opiacé
romiplostim	romiplostim
lacidipine	lacidipine
photosynthesis	photosynthèse
rabbit	lapin
puruṣārtha	purushartha
acoustics	acoustique
pericarditis	péricardite
thoracotomy	thoracotomie
ciclopirox	ciclopirox
photography	photographie
bear	ursidae
myh7	myh7
gundeshapur	gundishapur
emtricitabine	emtricitabine
homelessness	sans-abri
isozyme	isoenzyme
prebiotic 	prébiotique
polyphagia	polyphagie 
calorie	calorie
gamma-glutamyltransferase	gamma-glutamyltranspeptidase
condom	préservatif
peritonitis	péritonite
crematorium	crématorium
hospital	hôpital
sedative	sédatif
pyknosis	pycnose
qiyan	qiyan
hyperthyroidism	hyperthyroïdie
ertugliflozin	ertugliflozine
cyprus	chypre 
caveolin	cavéoline
archimedes	archimède
exoplanet	exoplanète
soul	âme
tyramine	tyramine
overdiagnosis	surdiagnostic
actinopterygii	actinopterygii
religion	religion
avocado	avocatier
cyclophosphamide	cyclophosphamide
cocaine	cocaïne
caesium	césium
1,1,1-trichloroethane	1,1,1-trichloroéthane
blue	bleu
cryonics	cryonie
tofacitinib	tofacitinib
melanocyte	mélanocyte
tracheotomy	trachéotomie
auriculotherapy	auriculothérapie
tetanospasmin	tétanospasmine
mesenchyme	mésenchyme
cement	ciment
bodybuilding	culturisme
plasmapheresis	plasmaphérèse
feminization 	féminisation 
vps33b	vps33b
triadin	triadine
risankizumab	risankizumab
seroconversion	séroconversion
conservatorship	tutelle
decontamination	décontamination
vaidya	vaidya
acromegaly	acromégalie
tears	larme
sars-cov-2	sars-cov-2
creb	creb 
necromancy	nécromancie
dysbindin	dysbindine
tretinoin	trétinoïne
apnea	apnée
puranas	purana
apulia	pouilles
picatrix	picatrix
thailand	thaïlande
connexon	connexon
piroxicam	piroxicam
electrocardiography	électrocardiographie
photon	photon
diploë	diploé
oviparity	oviparité
petalite	pétalite
propan-1-ol	propan-1-ol
streptococcus	streptocoque
sense	sens 
cardiomegaly	cardiomégalie
survey 	sondage 
cheongju 	cheongju 
achlorhydria	achlorhydrie
chiropractic	chiropratique
ludgate	ludgate
islam	islam
kanji	kanji
mucus	mucus
pregabalin	prégabaline
emaciation	émaciation
isagoge	isagogè
mantidae	mantidae
selumetinib	selumetinib
billion	billion 
genus	genre 
snorkeling	snorkeling
marination	marinade
acamprosate	acamprosate
konye-urgench	kounia-ourguentch
4-acetoxy-dipt	4-aco-dipt
menadione	ménadione
cyst	kyste 
nocturnality	nocturne 
mitochondrion	mitochondrie
vertebra	vertèbre
dipropyltryptamine	dipropyltryptamine
elbow	coude
brahman	brahman
nocturia	nycturie
hypoxemia	hypoxémie
diplopia	diplopie
heart	cœur
prolactin	prolactine
university	université
dryness 	sec 
pipotiazine	pipotiazine
cricothyrotomy	cricothyroïdotomie
telethonin	téléthonine
nanotechnology	nanotechnologie
elastography	élastographie
s-nitroso-n-acetylpenicillamine	s-nitroso-n-acétylpénicillamine
hemichordate	hemichordata
pericyte	péricyte
rama	rāma
kaempferol	kaempférol
europe	europe
metabolism	métabolisme
prayer	prière
acta2	acta2
s-nitrosothiol	s-nitrosothiol
livermorium	livermorium
terlipressin	terlipressine
lithium	lithium
amifampridine	amifampridine
androsterone	androstérone
n,n-dimethyltryptamine	diméthyltryptamine
colchicine	colchicine
hyperprolactinaemia	hyperprolactinémie
geisha	geisha
circumscription 	circonscription 
afatinib	afatinib
taurine	taurine
sattriya	sattriya
sanskrit	sanskrit
bilirubin	bilirubine
lung	poumon
drowning	noyade
austria	autriche
deletion 	délétion
marsupial	marsupialia
kansas	kansas
psoriasis	psoriasis
cocaine	cocaïne
velcro	velcro
chromophore	chromophore
cymarin	cymarine
digitalis	digitale
acetanilide	acétanilide
precursor 	précurseur 
bifonazole	bifonazole
monogamy	monogamie
neostigmine	néostigmine
caricature	caricature
cambodia	cambodge
slag	scorie 
mdma	mdma
disability	handicap
microalbuminuria	microalbuminurie
amgen	amgen
medicare 	medicare
catenation	caténation
fraud	fraude
neurology	neurologie
tetraethylammonium	tétraéthylammonium
altitude	altitude
entomophagy	entomophagie
vulgate	vulgate
magnetoencephalography	magnétoencéphalographie
maprotiline	maprotiline
brass	laiton
sharia	charia
glycosaminoglycan	glycosaminoglycane
bronchiole	bronchiole
carbanion	carbanion
catarrh	catarrhe
genotype	génotype
deicing	dégivrage 
nematode	nematoda
pentraxins	pentraxine
amylase	amylase
electronvolt	électronvolt
bradycardia	bradycardie
moisture	humidité
cryptography	cryptographie
bran	son 
aconitum	aconitum
colombia 	colombia 
corticosteroid	corticoïde
synonym	synonyme
kronan 	kronan
viviparity	viviparité
medicine	médecine
denaturation 	dénaturation
pramipexole	pramipexole
vivisection	vivisection
hypoxia 	hypoxie
hospital	hôpital
microangiopathy	microangiopathie
neighbourhood	quartier 
württemberg	wurtemberg
eukaryote	eukaryota
lead	plomb
diglyceride	diglycéride
heracles	héraclès
vasoconstriction	vasoconstriction
nystagmus	nystagmus
obstetrics	obstétrique
oxipurinol	oxypurinol
bendiocarb	bendiocarbe
interferon	interféron
sociology	sociologie
infrared	infrarouge
bologna	bologne
hydantoin	hydantoïne
dextran	dextrane
axitinib	axitinib
pseudo-geber	pseudo-geber
baghdad	bagdad
suda	souda
metopimazine	métopimazine
bank	banque
artemis	artémis
cirrhosis	cirrhose
endothelium	endothélium
cefazolin	céfazoline
coronavirus	coronavirus
light	lumière
enterolactone	entérolactone
cryonics	cryonie
echocardiography	échocardiographie
anxiety	anxiété
giardiasis	giardiase
kurds	kurdes
desalination	dessalement
stegosaurus	stegosaurus
choline	choline
heparinoid	héparinoïde
vasodilation	vasodilatateur
paradigm	paradigme
colubrinae	colubrinae
serum 	sérum
shasekishū	shasekishū
bleeding	hémorragie
xanthopsia	xanthopsie
optometry	optométrie
lurasidone	lurasidone
mesopotamia	mésopotamie
potassium	potassium
sauna	sauna
virology	virologie
togo	togo
fungus	fungi
yoga	yoga
cochrane 	cochrane 
lung	poumon
bisexuality	bisexualité
endurance	endurance
promession	promession
divergence 	divergence 
aminopterin	aminoptérine
ham	jambon
humerus	humérus
telethonin	téléthonine
fomite	fomite
brahmana	brahmana
hypoxia 	hypoxie
gin	gin
haecceity	eccéité
melanosome	mélanosome
music	musique
cerebrum	télencéphale
sting 	sting
biomarker	biomarqueur
psychiatrist	psychiatre
martyr	martyr
hematocrit	hématocrite
rutin	rutoside
piezoelectricity	piézoélectricité
equol	equol
bloodletting	saignée 
vandalism	vandalisme
anthropology	anthropologie
norvaline	norvaline
prokaryote	prokaryota
transmittance	transmittance
mollicutes	mollicutes
chloralose	chloralose
ophthalmology	ophtalmologie
epilepsy	épilepsie
fibrosis	fibrose
erasmus+	erasmus+
hyponatremia	hyponatrémie
lymphangitis	lymphangite
ionization	ionisation
nitrox	nitrox
transduction 	transduction 
theanine	théanine
triglyceride	triglycéride
sepal	sépale
villach	villach
antiserum	sérothérapie
pindolol	pindolol
parmenides	parménide
amblygonite	amblygonite
rhinoceros	rhinocéros
trimecaine	trimécaïne
mahābhūta	bhuta
paracetamol	paracétamol
swaminarayan	swaminarayan
polyphyly	polyphylie
starch	amidon
lung	poumon
axilla	aisselle
hippie	hippie
glycoside	hétéroside
childbirth	accouchement
mepolizumab	mepolizumab
henry 	henry 
glottis	glotte
therapy	traitement 
pentoxifylline	pentoxifylline
antimicrobial	antimicrobien
dressing 	mèche 
dynamin	dynamine 
ambiguity	ambiguïté
electrocardiography	électrocardiographie
cyclooxygenase	cyclooxygénase
kroger	kroger
filgotinib	filgotinib
cpr-1000	cpr-1000
ilium 	ilium 
nepal	népal
agave	agave
clinician	clinicien
vismodegib	vismodégib
mimnermus	mimnerme
temperament	tempérament 
folliculitis	folliculite
angiotensin	angiotensine
isozyme	isoenzyme
sacrifice	sacrifice
sacrum	sacrum
logic	logique
perindopril	périndopril
palonosetron	palonosétron
boldo	boldo
ethinylestradiol	éthinylestradiol
ekg 	ekg
roche	roche 
pork	porc 
antacid	antiacide
thymosin	thymosine
epiglottis	épiglotte
levocetirizine	lévocétirizine
neuroblastoma	neuroblastome
xerostomia	xérostomie
pompeii	pompéi
