laminopathy	laminopathie
brazil	brazilië
doxycycline	doxycycline
vardenafil	vardenafil
murder	moord
velia	elea
hobby	hobby
diastole	diastole 
veterinarian	dierenarts
leukocytosis	leukocytose
gjb2	connexine-26-mutatie
hip	heup
semarang	semarang 
menarche	menarche
acetaldehyde	aceetaldehyde
ovary	eierstok
hebei	hebei
translation 	translatie 
glycosaminoglycan	glycosaminoglycaan
dermatome 	dermatoom 
coke 	cokes
thiamine	thiamine
sacrum	heiligbeen
progestogen	progestageen
aripiprazole	aripiprazol
weir	stuw
hydrophile	hydrofiel
echocardiography	echocardiografie
haptoglobin	haptoglobine
steatorrhea	steatorroe
orujo	orujo
supernova	supernova
brainstem	hersenstam
x-ray	röntgenstraling
bloodletting	aderlaten
immunotherapy	immunotherapie
endothelium	endotheel
coagulation	bloedstolling
tellurium	telluur
cortisone	cortison
bangalore	bangalore
anticoagulant	anticoagulantia
vertebra	wervel 
meninges	hersenvliezen
screening 	bevolkingsonderzoek
kelp	kelp
ouzo	ouzo
lymphedema	lymfoedeem
vertebra	wervel 
miconazole	miconazol
kapila	kapila
allergy	allergie
ayurveda	ayurveda
anticonvulsant	anti-epileptica
hypercholesterolemia	hypercholesterolemie
danazol	danazol
physiology	fysiologie
caraway	karwij
lung	long 
amplitude	amplitude
ytterbium	ytterbium
sulfur	zwavel
bedding	beddengoed
prednisone	prednison
biomolecule	biomolecuul
menander	menander 
1,10-phenanthroline	1,10-fenantroline
amygdalin	amygdaline
phenylpiracetam	carfedon
phosphorylation	fosforylering
morphine	morfine
etomidate	etomidaat
fluspirilene	fluspirileen
aranyaka	aranyaka
rebranding	rebranding
chloroform	chloroform
rome	rome 
galvanometer	galvanometer
offal	orgaanvlees
exanthem	exantheem
myc	myc
acetylation	acetylering
edema	oedeem
balanitis	balanitis
triflupromazine	triflupromazine
shiitake	shiitake
gas	gas 
pythagoreanism	pythagorisme 
gastrin	gastrine
malaria	malaria
cholera	cholera
triathlon	triatlon
nucleoporin	nucleoporine
agar	agaragar
glycoside	glycoside
3-methylmethcathinone	3-methylmethcathinon
boeotia	boeotië
cricothyrotomy	coniotomie
satureja	bonenkruid
aligarh	aligarh 
carnosine	carnosine
protagoras 	protagoras 
epigenetics	epigenetica
sacrum	heiligbeen
pulmonata	longslakken
electrolyte	elektrolyt
schadenfreude	leedvermaak 
mantra	mantra
reflexology	reflexologie
zuclopenthixol	zuclopentixol
cytotoxicity	cytotoxine
ischemia	ischemie
minoxidil	minoxidil
propionitrile	propaannitril
losartan	losartan
yohimbine	yohimbine
catecholamine	catecholamine
sulconazole	sulconazol
gestation	gestatie
morphology 	morfologie 
alternariol	alternariol
embryology	embryologie
nitrate	nitraat
opisthotonus	opisthotonus
46,xx/46,xy	46,xy
hermetica	hermetica
poise 	poise
water	water
hope	hoop
homology 	homologie 
fermium	fermium
science 	science
vaginitis	vaginitis
spirometer	spirometer
autobiography	autobiografie
futon	futon
levitation 	levitatie 
hepatotoxicity	hepatotoxiciteit
oophorectomy	oöforectomie
tensor	tensor
tracheotomy	tracheotomie
horticulture	horticultuur
dandruff	roos 
locust	treksprinkhanen
quimper	quimper
tupuxuara	tupuxuara
rickettsia	rickettsia
sumac	sumak 
hyperthyroidism	thyreotoxicose
rhinitis	rinitis
kenya	kenia
push-up	opdrukken 
sonar	sonar
brahmin	brahmaan
spinach	spinazie
deforestation	ontbossing
mnemonic	ezelsbruggetje
1,3-diaminopropane	1,3-propaandiamine
recursion	recursie
pericardium	pericard
ventricle 	ventrikel 
ainhum	ainhum
fat	vet
gorgias	gorgias
tetanus	tetanus
pramana	pramana
vinflunine	vinflunine
automation	automatisering
sarcomere	sarcomeer
menopause	menopauze
tropicos	tropicos
