source,wiki_sanity_source,target,wiki_sanity_target
Heart failure,93374,Insuffisance_cardiaque_chez_l%27humain,0
Actin,105065,Actine,0
Heart failure,93589,Insuffisance_cardiaque_chez_l%27humain,0
Chest radiograph,32614,Radiographie_du_thorax,0
Tamsulosin,29409,Tamsulosine,0
Edema,37077,%C5%92d%C3%A8me,0
Giovanni Maria Lancisi,21447,Giovanni_Maria_Lancisi,0
Tetrandrine,29763,T%C3%A9trandrine,0
Gynura,16137,Gynura,0
Valvular heart disease,45786,Valvulopathie_cardiaque,0
Edema,37232,%C5%92d%C3%A8me,0
Pericarditis,30752,P%C3%A9ricardite,0
Torsades de pointes,30063,Torsades_de_pointe,0
Heart transplantation,30974,Transplantation_cardiaque,0
Tachycardia,34653,Tachycardie,0
Menopause,72908,M%C3%A9nopause,0
Electrocardiography,77438,%C3%89lectrocardiographie,0
Implantable cardioverter-defibrillator,36529,D%C3%A9fibrillateur_automatique_implantable,0
Hyperthyroidism,51759,Hyperthyro%C3%AFdie,0
William Stokes (physician),19398,William_Stokes,0
Crackles,19478,Cr%C3%A9pitant,0
Hospice,43462,Hospice,0
Pulmonary edema,29789,%C5%92d%C3%A8me_aigu_du_poumon,0
Lung,78460,Poumon,0
Antiarrhythmic agent,29214,Antiarythmique,0
Atrioventricular block,26484,Bloc_atrio-ventriculaire,0
Tricuspid valve stenosis,20509,R%C3%A9tr%C3%A9cissement_tricuspide,0
Cardiac output,63818,D%C3%A9bit_cardiaque,0
Hypertrophic cardiomyopathy,53299,Cardiomyopathie_hypertrophique,0
Tricuspid regurgitation,30245,Insuffisance_tricuspide,0
Preventive healthcare,94738,M%C3%A9decine_pr%C3%A9ventive,0
Medical diagnosis,38208,Diagnostic_(m%C3%A9decine),0
Smoking cessation,76004,Sevrage_tabagique,0
Accelerated idioventricular rhythm,19581,Rythme_idioventriculaire_acc%C3%A9l%C3%A9r%C3%A9,0
Signs and symptoms,45909,Signe_clinique,0
Ernest Starling,26713,Ernest_Starling,0
Clinical prediction rule,21635,Score_clinique,0
Cerebral edema,57437,%C5%92d%C3%A8me_c%C3%A9r%C3%A9bral,0
Yohimbine,62414,Yohimbine,0
Route of administration,37703,Voie_d%27administration,0
Pathophysiology,26449,Physiopathologie,0
William Harvey,64590,William_Harvey,0
Systole,31865,Systole,0
Sacubitril/valsartan,31397,valsartan,0
Andersen–Tawil syndrome,33392,Syndrome_d%27Andersen-Tawil,0
Vasopressin,47576,Vasopressine,0
Isosorbide dinitrate,25847,Dinitrate_d%27isosorbide,0
Obesity,102135,Ob%C3%A9sit%C3%A9,0
Mitral stenosis,36702,R%C3%A9tr%C3%A9cissement_mitral,0
Angiotensin II receptor blocker,44902,Antagoniste_des_r%C3%A9cepteurs_de_l%27angiotensine_II,0
Edema,37248,%C5%92d%C3%A8me,0
Endocarditis,23820,Endocardite,0
Syndrome,24350,Syndrome,0
Pulmonary hypertension,57715,Hypertension_art%C3%A9rielle_pulmonaire,0
Anemia,62797,An%C3%A9mie,0
Richard Lower (physician),25023,Richard_Lower_(m%C3%A9decin),0
Hyponatremia,35698,Hyponatr%C3%A9mie,0
Algorithm,108524,Algorithme,0
Chronic kidney disease,48913,Insuffisance_r%C3%A9nale_chronique,0
Physical examination,36808,Examen_clinique,0
Abdominojugular test,16780,Reflux_h%C3%A9pato-jugulaire,0
Long QT syndrome,58432,Syndrome_du_QT_long,0
Frank–Starling law,22373,Loi_de_Starling,0
Catheter,28492,Cath%C3%A9ter,0
Wheeze,19010,Sibilance,0
Palliative care,65010,Soins_palliatifs,0
Echocardiography,42009,%C3%89chocardiographie,0
Angina,48388,Angine_de_poitrine,0
Bradycardia,29240,Bradycardie,0
Ascites,30286,Ascite,0
William Withering,35379,William_Withering,0
Calcium channel blocker,42833,Inhibiteur_calcique,0
Thiamine,43177,Vitamine_B1,0
Hypertension,71002,Hypertension_art%C3%A9rielle,0
Lithium (medication),57075,Sel_de_lithium,0
Bundle branch block,21535,Bloc_de_branche,0
Cardiology,66127,Cardiologie,0
Ejection fraction,21968,Fraction_d%27%C3%A9jection,0
Cardiovascular disease,69840,Maladie_cardiovasculaire,0
Opiate,40329,Opiac%C3%A9,0
Itraconazole,31599,Itraconazole,0
Kerley lines,16141,Ligne_de_Kerley,0
Cardiomyopathy,27544,Cardiomyopathie,0
Gold standard (test),25327,Gold_standard_(test),0
Hirudo medicinalis,23535,Hirudo_medicinalis,0
Renin–angiotensin system,29906,Syst%C3%A8me_r%C3%A9nine-angiotensine-aldost%C3%A9rone,0
Atrial flutter,30767,Flutter_atrial,0
Minoxidil,41657,Minoxidil,0
Pericardial effusion,31890,%C3%89panchement_p%C3%A9ricardique,0
Arteriovenous fistula,20840,Fistule_art%C3%A9rio-veineuse,0
Iron supplement,33935,Fer_(m%C3%A9dicament),0
European Society of Cardiology,24885,Soci%C3%A9t%C3%A9_europ%C3%A9enne_de_cardiologie,0
Crackles,19610,Cr%C3%A9pitant,0
Coronary artery bypass surgery,49254,Pontage_coronarien,0
Stimulant,64845,Stimulant,0
Angina,48538,Angine_de_poitrine,0
Endocardium,20116,Endocarde,0
Ventricle (heart),30627,Ventricule_cardiaque,0
Adams–Stokes syndrome,19237,Syndrome_d%27Adams-Stokes,0
Ventricular assist device,47148,Assistance_ventriculaire,0
Liquorice,35241,R%C3%A9glisse,0
Acute liver failure,41255,Insuffisance_h%C3%A9patique_aigu%C3%AB,0
Clinical trial,86946,Essai_clinique,0
Sensitivity and specificity,47044,Sensibilit%C3%A9_et_sp%C3%A9cificit%C3%A9,0
Autopsy,48556,Autopsie,0
Digoxin,39861,Digoxine,0
Chagas disease,52681,Maladie_de_Chagas,0
Mitral regurgitation,42140,Insuffisance_mitrale,0
Power of attorney,32861,Contrat_de_mandat,0
Fatigue,34134,Fatigue_(physiologie),0
Risk factor,18282,Facteur_de_risque,0
Hemopericardium,23822,H%C3%A9mop%C3%A9ricarde,0
Chest pain,37896,Douleur_thoracique,0
Cilostazol,25635,Cilostazol,0
Myocardial infarction,85541,Infarctus_du_myocarde,0
Medical device,60702,Dispositif_m%C3%A9dical,0
Splenomegaly,34287,Spl%C3%A9nom%C3%A9galie,0
Implantable cardioverter-defibrillator,36747,D%C3%A9fibrillateur_automatique_implantable,0
Auscultation,23897,Auscultation,0
Methamphetamine,102562,M%C3%A9thamph%C3%A9tamine,0
Sacrum,33144,Sacrum,0
Ibn al-Nafis,53091,Ibn_al-Nafis,0
Quality of life,36255,Qualit%C3%A9_de_vie,0
Pneumonia,76780,Pneumonie_aigu%C3%AB,0
Eplerenone,24571,%C3%89pl%C3%A9r%C3%A9none,0
Nonsteroidal anti-inflammatory drug,69588,Anti-inflammatoire_non_st%C3%A9ro%C3%AFdien,0
Drimia maritima,19502,Scille_maritime,0
Ventricular fibrillation,38247,Fibrillation_ventriculaire,0
Hospital,64032,H%C3%B4pital,0
Ivabradine,23765,Ivabradine,0
Aorta,33448,Aorte,0
Infection,93781,Infection,0
Myocarditis,40667,Myocardite,0
Anagrelide,24495,Anagr%C3%A9lide,0
Digitalis,34043,Digitale,0
Restrictive cardiomyopathy,21428,Cardiomyopathie_restrictive,0
Shortness of breath,38453,Dyspn%C3%A9e,0
Prostaglandin,35785,Prostaglandine,0
Ultrasound,47970,Ultrason,0
Alternative medicine,116714,M%C3%A9decine_non_conventionnelle,0
Signs and symptoms,46077,Signe_clinique,0
Pregabalin,60051,Pr%C3%A9gabaline,0
Methylphenidate,89131,M%C3%A9thylph%C3%A9nidate,0
Ejection fraction,21968,Fraction_d%27%C3%A9jection,0
Traditional Chinese medicine,143511,M%C3%A9decine_traditionnelle_chinoise,0
Apex beat,20710,Choc_de_pointe,0
Coronary arteries,23387,Art%C3%A8re_coronaire,0
Lupus,82789,Lupus_%C3%A9ryth%C3%A9mateux_diss%C3%A9min%C3%A9,0
ACE inhibitor,49570,Inhibiteur_de_l%27enzyme_de_conversion,0
Heart,114324,C%C5%93ur,0
Ejection fraction,22107,Fraction_d%27%C3%A9jection,0
Unstable angina,21759,Angor_instable,0
Arteriovenous malformation,32730,Malformation_art%C3%A9rioveineuse,0
ABC (medicine),34168,Proc%C3%A9dure_ABCDEF_de_traitement_des_urgences_extrahospitali%C3%A8res,0
Electrical conduction system of the heart,31707,Tissu_cardionecteur,0
Echocardiography,41851,%C3%89chocardiographie,0
HIV/AIDS,110761,Syndrome_d%27immunod%C3%A9ficience_acquise,0
Coagulopathy,22822,Coagulopathie,0
Aconitum,44246,Aconitum,0
Liver failure,21225,Insuffisance_h%C3%A9pato-cellulaire,0
Myocardial stunning,21192,Sid%C3%A9ration_myocardique,0
Jervell and Lange-Nielsen syndrome,25825,Syndrome_de_Jervell_et_Lange-Nielsen,0
Pleural effusion,36787,%C3%89panchement_pleural,0
Congestive hepatopathy,25333,Foie_cardiaque,0
Exercise,57281,Fitness,0
Hypoxemia,29913,Hypox%C3%A9mie,0
Drinking water,43119,Eau_potable,0
Aortic regurgitation,31960,Insuffisance_aortique,0
Nocturia,27725,Nycturie,0
Pulseless electrical activity,21525,Dissociation_%C3%A9lectrom%C3%A9canique,0
Verapamil,41934,V%C3%A9rapamil,0
Right bundle branch block,22668,Bloc_de_branche#Bloc_de_branche_droit,0
Electrolyte,32565,%C3%89lectrolyte,0
Nitrovasodilator,30281,D%C3%A9riv%C3%A9_nitr%C3%A9,0
Coronary thrombosis,23317,Thrombose_coronaire,0
Potassium,67036,Potassium,0
Nephrotic syndrome,50351,Syndrome_n%C3%A9phrotique,0
Cancer,106444,Cancer,0
Complete blood count,86183,H%C3%A9mogramme,0
Loop diuretic,27873,Diur%C3%A9tique_de_l%27anse,0
Romano–Ward syndrome,35618,Syndrome_de_Romano-Ward,0
Connective tissue disease,28332,Connectivite,0
Pulmonary valve,18266,Valve_pulmonaire,0
QT interval,29227,Intervalle_QT,0
Pulmonary alveolus,29163,Alv%C3%A9ole_pulmonaire,0
Libman–Sacks endocarditis,22943,Endocardite_de_Libman-Sacks,0
Catecholaminergic polymorphic ventricular tachycardia,44020,Tachycardie_ventriculaire_polymorphe_cat%C3%A9cholergique,0
Atrial fibrillation,84485,Fibrillation_atriale,0
Differential diagnosis,61455,Diagnostic_diff%C3%A9rentiel,0
American Heart Association,25721,American_Heart_Association,0
Muscle contraction,55608,Contraction_musculaire,0
Life expectancy,67144,Esp%C3%A9rance_de_vie_humaine,0
Humorism,44196,Th%C3%A9orie_des_humeurs,0
Dopamine agonist,45700,Agoniste_de_la_dopamine,0
Organ dysfunction,16014,Insuffisance_d%27organe,0
Paracelsus,76008,Paracelse,0
Vital capacity,16449,Capacit%C3%A9_vitale,0
Diet (nutrition),27609,Pratique_alimentaire,0
Hepatomegaly,24319,H%C3%A9patom%C3%A9galie,0
Cardiac glycoside,24070,Digitalique,0
Therapy,40977,Traitement_(m%C3%A9decine),0
Case fatality rate,24370,Taux_de_l%C3%A9talit%C3%A9,0
C-reactive protein,35367,Prot%C3%A9ine_C_r%C3%A9active,0
Food and Drug Administration,91426,Food_and_Drug_Administration,0
Pulmonary heart disease,27202,C%C5%93ur_pulmonaire,0
Cyclophosphamide,40047,Cyclophosphamide,0
Antipsychotic,108564,Neuroleptique,0
Dizziness,21625,%C3%89tourdissement,0
Coronary artery disease,50566,Maladie_coronarienne,0
Pulmonary edema,29618,%C5%92d%C3%A8me_aigu_du_poumon,0
Heart valve,38358,Valve_cardiaque,0
Bronchus,27004,Bronche,0
Paget's disease of bone,39857,Maladie_osseuse_de_Paget,0
Ventricular tachycardia,32913,Tachycardie_ventriculaire,0
Vascular resistance,34218,R%C3%A9sistance_vasculaire,0
National Health Service,54643,National_Health_Service,0
Myocardial bridge,28280,Pont_myocardique,0
Junctional ectopic tachycardia,23792,Tachycardie_jonctionnelle_hisienne,0
L-type calcium channel,27616,Courant_calcique_de_type_L,0
Heart,114324,C%C5%93ur,0
Blood test,26253,Bilan_sanguin,0
Kidney failure,31336,Insuffisance_r%C3%A9nale,0
Jugular venous pressure,27587,Pression_veineuse_jugulaire,0
Frank–Starling law,22399,Loi_de_Starling,0
Iron supplement,33893,Fer_(m%C3%A9dicament),0
List of ICD-9 codes,10874,Liste_de_codes_CIM-9,0
Left ventricular hypertrophy,21256,Hypertrophie_ventriculaire_gauche,0
Beta blocker,54571,B%C3%AAta-bloquant,0
AV nodal reentrant tachycardia,28188,Maladie_de_Bouveret,0
Hydralazine,27222,Hydralazine,0
Cardiac cycle,35926,Cycle_cardiaque,0
Sensitivity and specificity,47044,Sensibilit%C3%A9_et_sp%C3%A9cificit%C3%A9,0
Lily of the valley,28922,Muguet_de_mai,0
Atrial tachycardia,18766,Tachycardie_atriale,0
Acute kidney injury,34455,Insuffisance_r%C3%A9nale_aigu%C3%AB,0
Aortic valve,27474,Valve_aortique,0
Artificial cardiac pacemaker,65717,Stimulateur_cardiaque,0
Coronary artery disease,50746,Maladie_coronarienne,0
ACE inhibitor,49365,Inhibiteur_de_l%27enzyme_de_conversion,0
Medical Subject Headings,27006,Medical_Subject_Headings,0
Ayurveda,89235,Ayurveda,0
Left bundle branch block,19677,Bloc_de_branche,0
Vasodilation,37690,Vasodilatateur,0
Multiple organ dysfunction syndrome,27457,Syndrome_de_d%C3%A9faillance_multivisc%C3%A9rale,0
Metabolic equivalent of task,21695,%C3%89quivalent_m%C3%A9tabolique,0
Angina,48538,Angine_de_poitrine,0
Arrhythmia,47193,Trouble_du_rythme_cardiaque,0
Action potential,110999,Potentiel_d%27action,0
Ebers Papyrus,21919,Papyrus_Ebers,0
Chest radiograph,32450,Radiographie_du_thorax,0
Tricuspid valve,20417,Valve_tricuspide,0
Encephalopathy,30658,Enc%C3%A9phalopathie,0
Oxygen therapy,86499,Oxyg%C3%A9noth%C3%A9rapie_normobare,0
Chronic obstructive pulmonary disease,96067,Bronchopneumopathie_chronique_obstructive,0
Mitral regurgitation,41970,Insuffisance_mitrale,0
