source,wiki_sanity_source,target,wiki_sanity_target
Heart failure,90791,Hartfalen,0
Pulmonary hypertension,58451,Pulmonale_hypertensie,0
Asystole,20941,Asystolie,0
Frank–Starling law,22336,Frank-Starlingmechanisme,0
Paget's disease of bone,39804,Botziekte_van_Paget,0
Medical diagnosis,36892,Medische_diagnose,0
Antipsychotic,107492,Antipsychotica,0
Food and Drug Administration,89063,Food_and_Drug_Administration,0
Human body weight,36268,Lichaamsgewicht,0
Pulmonary heart disease,25603,Cor_pulmonale,0
Cardiac glycoside,24043,Hartglycosiden,0
Cardiac muscle,39263,Hartspier,0
Furosemide,48848,Furosemide,0
Myocarditis,39817,Myocarditis,0
Heart transplantation,30781,Harttransplantatie,0
Multiple myeloma,67550,Multipel_myeloom,0
Mitral stenosis,36148,Mitralisstenose,0
Cyanosis,25075,Cyanose,0
Bloodletting,35393,Aderlaten,0
Sensitivity and specificity,46413,Sensitiviteit_en_specificiteit,0
Johns Hopkins University,75996,Johns_Hopkins-universiteit,0
Liver failure,21185,Leverinsuffici%C3%ABntie,0
Auscultation,22316,Auscultatie,0
Signs and symptoms,45794,Klinisch_teken,0
Cardiac output,62151,Hartminuutvolume,0
Organ dysfunction,14429,Orgaanfalen,0
Chest radiograph,31688,Thoraxfoto,0
Adams–Stokes syndrome,19189,Syndroom_van_Adams-Stokes,0
Cocaine,140078,Coca%C3%AFne,0
Sinus bradycardia,20196,Sinusbradycardie,0
National Health Service,53062,National_Health_Service,0
Digoxin,48915,Digoxine,0
Lithium (medication),55851,Lithiumtherapie,0
Gossypol,17602,Gossypol,0
Diseases Database,12658,Diseases_Database,0
Hirudo medicinalis,21927,Medicinale_bloedzuiger,0
Pulmonary valve stenosis,21178,Pulmonalisstenose,0
Circulatory system,98401,Hart_en_vaatstelsel,0
Tamsulosin,29255,Tamsulosine,0
Arrhythmia,45256,Hartritmestoornis,0
Stimulant,65467,Stimulantia,0
Beta blocker,54583,B%C3%A8tablokkers,0
Medical device,58680,Medisch_hulpmiddel,0
Syndrome,23388,Syndroom_(ziektebeeld),0
Endocardium,18460,Endocard,0
Chagas disease,51974,Ziekte_van_Chagas,0
Paracelsus,76368,Paracelsus,0
Pulseless electrical activity,21460,Polsloze_elektrische_activiteit,0
Risk factor,16728,Risicofactor,0
Tachypnea,17869,Tachypnoe,0
Ventricular natriuretic peptide,32193,Brain_natriuretic_peptide,0
Anesthetic,31669,Anesthetica,0
Heart murmur,34606,Geruis_(hart),0
Pulmonary circulation,67859,Kleine_bloedsomloop,0
Right ventricular hypertrophy,26716,Rechterventrikelhypertrofie,0
Potassium,67438,Kalium,0
Anemia,60501,Bloedarmoede,0
Cardiac marker,24137,Hartmerkers,0
Mechanical ventilation,47707,Beademing,0
Edema,34818,Oedeem,0
Otto Frank (physiologist),19484,Otto_Frank_(fysioloog),0
Electrocardiography,76364,Elektrocardiogram,0
Actin,105645,Actine,0
Coronary artery disease,50170,Ischemische_hartklachten,0
