osteoporose	ostéoporose
digoxine	digoxine
alicudi	alicudi
calorie	calorie
lymfadenopathie	adénopathie
ongelijkheid_	inégalité 
tritium	tritium
thalamus	thalamus
valentie_	valence 
calvados_	calvados 
anagrelide	anagrélide
chop	chop 
cardiologie	cardiologie
sulfapreparaat	sulfanilamide
smaakzin	goût
hermetica	hermetica
kirsch	kirsch
zuidelijk_min	minnan
geschiedenis	histoire
lintwormen	cestoda
azteken	aztèques
bronchitis	bronchite
falanx	phalange 
defibrillatie	défibrillation
infarct	infarctus
trombolyse	thrombolyse
bilateria	bilateria
nefron	néphron
combinatoriek	combinatoire
prokaryoten	prokaryota
spinnenwebvlies	arachnoïde
epitheel	épithélium
hepatotoxiciteit	hépatotoxicité
cocktailshaker	shaker
ultraviolet	ultraviolet
dimethyltryptamine	diméthyltryptamine
stridor	stridor
trombose	thrombose
histon_	histone
aderlaten	saignée 
traditionalistische_school_	pérennialisme 
progesteron	progestérone
spanje	espagne
serum	sérum
onderhuids_weefsel	hypoderme 
bureaucratie	bureaucratie
recursie	récursivité
oricum	oricum
clonidine	clonidine
turingvolledigheid	turing-complet
hospitaalschip	navire-hôpital
orthomyxoviridae	orthomyxoviridae
myceens	mycénien
luchtpijp	trachée
minoxidil	minoxidil
zolpidem	zolpidem
radiotherapie	radiothérapie
lichtgevoelige_cel	photorécepteur 
toes	tous 
levitatie_	lévitation 
voorhuid	prépuce
dramafilm	drame 
riboflavine	riboflavine
steroïde	stéroïde
suda	souda
antibioticum	antibiotique
verapamil	vérapamil
hart	cœur
socrates_	socrate
dronkenschap	ivresse
griep	grippe
palpatie	palpation 
perikaryon	péricaryon
astma	asthme
wervel_	vertèbre
wolfskers	belladone
salbutamol	salbutamol
ascites_	ascite
sporter	sportif
semarang_	semarang
elastiekje	élastique
antipsychotica	neuroleptique
rasis	rhazès
paracriene_uitscheiding	paracrine
kalam_	kalâm
fibrinolyse	fibrinolyse
ontwenningsverschijnselen	sevrage 
forel_	truite
opiaten	opiacé
manta_	manta 
expectorans	expectorant
nitril	nitrile
yorkshire	yorkshire
conotoxine	conotoxine
grafeen	graphène
dichloordifenyltrichloorethaan	dichlorodiphényltrichloroéthane
diatomeeën	bacillariophyta
paracetamol	paracétamol
katheter	cathéter
lyse	lyse 
abces	abcès
cyclofosfamide	cyclophosphamide
whisky	whisky
cirrose	cirrhose
myocarditis	myocardite
aromatase	aromatase
hipocras	hypocras
uithoudingsvermogen	endurance
prostaglandinen	prostaglandine
shandy	panaché
